Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20211011_185126.0;-0.212;-0.252;9.693;0.049;-0.045;-0.004;220.1;-30.338;4.538;-62.625;5.0;-32.87889;-60.69728;49.9;36.9
20211011_185126.5;0.202;-0.944;8.031;-0.056;0.017;-0.014;220.1;-32.588;3.150;-60.563;5.0;-32.87897;-60.69724;48.4;37.3
20211011_185127.0;-0.109;-1.028;9.398;-0.087;0.009;-0.011;220.1;-33.094;5.531;-59.775;5.0;-32.87897;-60.69724;48.4;37.3
20211011_185127.5;-0.636;0.778;9.097;-0.036;-0.014;0.008;220.1;-32.213;4.894;-60.731;5.0;-32.87905;-60.69719;43.4;36.8
20211011_185128.0;0.169;-0.175;9.288;0.004;-0.081;0.007;220.1;-33.319;3.488;-58.519;5.0;-32.87905;-60.69719;43.4;36.8
20211011_185128.5;-0.722;-0.477;10.620;-0.024;0.063;0.023;220.1;-32.325;3.469;-61.331;5.0;-32.87915;-60.69716;44.4;38.7
20211011_185129.0;-0.399;-0.300;11.284;0.025;0.009;0.017;220.1;-33.750;3.488;-60.525;5.0;-32.87915;-60.69716;44.4;38.7
20211011_185129.5;-0.931;0.937;9.128;-0.086;0.002;0.025;220.1;-32.663;5.531;-60.863;5.0;-32.87924;-60.69713;44.8;41.0
20211011_185130.0;-0.873;0.366;8.387;-0.041;-0.011;0.012;244.9;-33.394;5.550;-61.313;5.0;-32.87924;-60.69713;44.8;41.0
20211011_185130.5;-1.386;-0.424;7.788;-0.027;-0.008;-0.000;244.9;-33.394;5.550;-61.931;5.0;-32.87935;-60.69710;44.0;43.7
20211011_185131.0;-0.040;-0.946;10.249;0.016;0.030;0.009;244.9;-34.463;3.506;-60.506;5.0;-32.87935;-60.69710;44.0;43.7
20211011_185131.5;-0.245;-0.894;9.319;-0.017;-0.000;-0.011;244.9;-33.244;5.700;-61.013;5.0;-32.87946;-60.69706;44.9;45.6
20211011_185132.0;0.042;-0.937;11.202;0.072;-0.018;-0.016;244.9;-33.338;4.275;-58.988;5.0;-32.87946;-60.69706;44.9;45.6
20211011_185132.5;0.013;-0.930;10.481;0.021;-0.015;-0.015;244.9;-34.875;7.781;-59.738;5.0;-32.87957;-60.69702;44.9;45.1
20211011_185133.0;0.936;-1.021;10.924;-0.005;-0.005;-0.010;244.9;-33.113;5.850;-59.775;5.0;-32.87957;-60.69702;44.9;45.1
20211011_185133.5;-0.786;-0.633;9.272;-0.131;-0.013;0.000;244.9;-33.638;4.594;-60.225;5.0;-32.87968;-60.69698;45.6;46.2
